K;s2
1;0.34794575
2;0.23211424
3;0.18977869
4;0.16642386
5;0.15199283
6;0.14146309
7;0.13689493
8;0.13315806
9;0.12350458
10;0.12302122
11;0.11996436
12;0.118972644
13;0.11251032
14;0.11077063
15;0.10840234
16;0.10997109
17;0.09244274
18;0.106074676
19;0.09985161
20;0.09550704
21;0.09590771
22;0.09344064
23;0.09635943
24;0.09176179
25;0.08871471
26;0.08850294
27;0.08800066
28;0.090209745
29;0.08370398
30;0.08311378
31;0.08340174
32;0.083818845
33;0.07884788
34;0.0837808
35;0.081473954
36;0.07838546
37;0.08006416
38;0.07876178
39;0.077480055
40;0.07603185
41;0.077053085
42;0.07533026
43;0.07445018
44;0.0745427
45;0.07101484
46;0.069845885
47;0.06971398
48;0.07188148
49;0.072292134
50;0.06972517
51;0.07220492
52;0.07051828
53;0.07179095
54;0.07182777
55;0.06823957
56;0.06564468
57;0.06694783
58;0.0687894
59;0.06972299
60;0.06620257
61;0.06427532
62;0.064544976
63;0.06495496
64;0.06474818
65;0.06367417
66;0.06607583
67;0.06454673
68;0.06331642
69;0.061375566
70;0.063125625
71;0.06258353
72;0.061606232
73;0.061488137
74;0.06489913
75;0.06201284
76;0.063075095
77;0.061909992
78;0.06248525
79;0.05864272
80;0.06019475
81;0.059500832
82;0.05846342
83;0.05947707
84;0.059024896
85;0.061086334
86;0.05740923
87;0.05721883
88;0.05921042
89;0.05767766
90;0.059393864
91;0.057843253
92;0.05486296
93;0.05618241
94;0.057183333
95;0.055410407
96;0.05616204
97;0.055106383
98;0.053639248
99;0.054950967
100;0.05483467
101;0.05529379
102;0.054446448
103;0.05352763
104;0.05574952
105;0.055616647
106;0.054061607
107;0.05224057
108;0.05269183
109;0.05394214
110;0.053326506
111;0.05390856
112;0.05216877
113;0.051673844
114;0.05210737
115;0.05079338
116;0.052192386
117;0.051694285
118;0.050802253
119;0.05129453
120;0.052618887
121;0.049284514
122;0.052158624
123;0.049654536
124;0.050607372
125;0.05154939
126;0.047833078
127;0.0499331
128;0.05080969
129;0.049620092
130;0.04866139
131;0.049435057
132;0.047627237
133;0.049607288
134;0.050025992
135;0.048699178
136;0.048770554
137;0.047777634
138;0.048428424
139;0.04870613
140;0.049248666
141;0.04895732
142;0.04829083
143;0.047682844
144;0.048440058
145;0.048287187
146;0.046923663
147;0.0468047
148;0.04705134
149;0.045938656
150;0.04681416
151;0.04651241
152;0.045219377
153;0.047391415
154;0.043947775
155;0.046164133
156;0.04412442
157;0.044733204
158;0.044403877
159;0.044651743
160;0.04601723
161;0.0446948
162;0.045708418
163;0.044292614
164;0.045124423
165;0.044085953
166;0.045155387
167;0.04438095
168;0.044152897
169;0.04273598
170;0.044760488
171;0.044291742
172;0.043111585
173;0.043161303
174;0.043796606
175;0.043799315
176;0.04362189
177;0.04249979
178;0.042741913
179;0.04317406
180;0.043958016
181;0.043163747
182;0.04183314
183;0.041651133
184;0.04222459
185;0.04242031
186;0.043204892
187;0.042613126
188;0.040920496
189;0.04147364
190;0.041758884
191;0.042158857
192;0.040219415
193;0.041529533
194;0.041315265
195;0.04080505
196;0.040721864
197;0.039534293
198;0.040419664
199;0.042141847
200;0.042655107
201;0.040635966
202;0.040477384
203;0.03932206
204;0.039939396
205;0.04020697
206;0.04138471
207;0.04058022
208;0.041241325
209;0.039866176
210;0.041359805
211;0.038827162
212;0.04109087
213;0.039703604
214;0.039571036
215;0.039137587
216;0.040402975
217;0.03958309
218;0.03824505
219;0.039194454
220;0.038979303
221;0.03956231
222;0.039063986
223;0.040110424
224;0.03963512
225;0.04022594
226;0.036686584
227;0.038403507
228;0.038040325
229;0.038190942
230;0.03815067
231;0.03820714
232;0.037549995
233;0.037623756
234;0.038101327
235;0.037778806
236;0.037577417
237;0.038772736
238;0.037566558
239;0.038063478
240;0.03703499
241;0.03855516
242;0.03627828
243;0.036641877
244;0.037227962
245;0.036417764
246;0.037604675
247;0.036912978
248;0.037506092
249;0.036264013
250;0.03581349
251;0.037876204
252;0.037259553
253;0.036541704
254;0.03802404
255;0.035921562
256;0.03619938
257;0.037350014
258;0.03639662
259;0.036994454
260;0.036736365
261;0.035323475
262;0.03484347
263;0.036032
264;0.035486776
265;0.035620887
266;0.03615161
267;0.035737585
268;0.035619613
269;0.036597155
270;0.03552916
271;0.036277242
272;0.03535317
273;0.035054125
274;0.03545443
275;0.036022224
276;0.03437061
277;0.03441018
278;0.035325374
279;0.034477256
280;0.03479013
281;0.035126194
282;0.03360323
283;0.035577293
284;0.035529353
285;0.03409746
286;0.034130022
287;0.033574447
288;0.033849303
289;0.035020016
290;0.034151927
291;0.034606483
292;0.035396565
293;0.033316392
294;0.03464781
295;0.033573363
296;0.033647727
297;0.03445192
298;0.032760866
299;0.03450206
300;0.033619165
301;0.0332576
302;0.03420621
303;0.033379056
304;0.032826886
305;0.033833265
306;0.033298094
307;0.03430143
308;0.033143524
309;0.033607773
310;0.032947477
311;0.033129364
312;0.03362288
313;0.032728378
314;0.032960597
315;0.033101197
316;0.033332527
317;0.034127094
318;0.033291206
319;0.033499252
320;0.033186104
321;0.033260543
322;0.032530956
323;0.032668162
324;0.03212458
325;0.033157583
326;0.032629177
327;0.032702975
328;0.032473907
329;0.032589518
330;0.032158002
331;0.032984503
332;0.031892005
333;0.03275207
334;0.031544317
335;0.03297042
336;0.032443922
337;0.032583218
338;0.032106046
339;0.0315891
